SD_front,SD_left,SD_right,SD_back,Class
1.258,0.650,1.649,1.079,0
1.239,0.654,1.636,1.110,0
1.208,0.627,1.667,1.128,0
1.203,0.634,1.697,1.134,0
1.173,0.628,3.173,1.163,0
1.182,0.615,3.189,1.154,0
1.166,0.602,1.704,1.170,0
1.139,0.617,2.423,1.186,0
1.097,0.604,3.246,1.226,0
1.095,0.584,2.425,1.217,0
1.103,0.582,3.197,1.234,0
1.048,0.582,3.233,1.251,0
1.028,0.569,2.475,1.256,0
0.810,0.573,2.512,1.312,2
0.788,0.567,3.260,1.331,2
0.731,0.564,3.251,1.336,2
0.697,0.548,3.255,1.355,2
0.727,0.549,3.241,1.373,2
0.696,0.543,3.304,1.389,2
0.704,0.538,3.250,1.391,2
0.899,0.538,3.276,1.412,2
0.898,0.516,3.316,1.415,2
0.900,0.532,2.505,1.413,2
0.917,0.518,3.302,1.421,2
0.904,0.518,3.264,1.396,2
0.917,0.531,2.519,1.383,2
0.904,0.517,3.262,1.383,2
0.917,0.516,3.282,1.396,2
0.904,0.529,3.301,1.423,2
0.907,0.514,3.280,1.382,2
0.944,0.527,3.299,1.407,2
0.922,0.512,3.262,1.407,2
0.934,0.526,3.300,1.419,2
0.779,0.504,3.262,1.381,2
0.805,0.524,3.301,1.406,2
0.938,0.516,3.264,1.392,2
0.924,0.521,3.265,1.392,2
0.922,0.498,1.867,1.379,2
0.905,0.497,1.869,1.417,2
0.902,0.502,2.371,1.418,2
0.917,0.501,3.312,1.392,2
0.904,0.499,1.980,1.424,2
0.903,0.504,1.979,1.409,2
0.893,0.487,2.015,1.383,2
0.934,0.485,1.996,1.139,2
0.925,0.482,1.920,1.123,2
1.543,0.501,1.824,1.156,1
1.279,0.485,1.838,1.124,1
1.266,0.497,1.923,1.116,1
1.239,0.475,2.039,1.084,1
1.250,0.481,1.892,1.097,1
1.275,0.482,1.980,1.098,1
1.275,0.475,1.891,1.111,1
1.274,0.483,1.929,1.090,1
1.275,0.483,2.001,1.093,1
1.230,0.477,2.022,1.094,1
1.225,0.492,1.954,0.617,1
1.644,0.486,1.876,0.630,1
1.273,0.502,1.896,1.044,1
1.630,0.496,1.895,1.064,1
1.256,0.491,1.934,1.072,1
1.574,0.506,1.899,0.967,1
1.605,0.507,1.896,0.959,1
1.596,0.509,1.860,0.980,1
1.551,0.497,1.895,1.002,1
1.455,0.512,1.850,0.997,1
1.599,0.514,1.634,1.005,1
1.527,0.496,1.538,1.001,1
1.552,0.519,1.624,1.022,1
1.525,0.507,1.579,1.064,1
1.537,0.503,1.581,1.082,1
1.524,0.520,1.536,1.063,1
1.514,0.516,1.526,1.097,1
1.392,0.525,1.554,1.319,1
1.374,0.514,1.496,1.303,1
1.486,0.524,1.541,0.904,0
1.498,0.520,1.539,0.916,0
1.453,0.538,1.581,0.913,0
1.443,0.548,1.485,1.327,0
1.470,0.552,1.496,1.373,0
1.458,0.549,1.476,1.376,0
1.420,0.561,1.528,1.402,0
1.430,0.560,1.673,0.979,0
1.361,0.551,1.656,1.367,0
1.332,0.579,1.471,0.985,0
1.312,0.579,1.683,0.973,0
1.352,0.592,1.582,1.031,0
1.308,0.600,1.616,1.040,0
1.297,0.586,1.681,1.083,0
1.254,0.601,1.735,1.101,0
1.235,0.615,1.690,1.520,0
1.204,0.630,1.582,1.553,0
1.182,0.617,1.673,1.589,0
1.167,0.645,1.621,1.595,0
1.171,0.653,1.610,1.002,0
1.142,0.639,1.657,1.014,0
1.133,0.661,1.613,1.061,0
1.101,0.676,1.822,1.698,0
1.082,0.669,1.861,1.718,0
1.064,0.684,1.997,1.631,0
1.071,0.684,1.667,1.639,0
1.027,0.691,2.061,1.653,0
1.034,0.699,1.749,1.621,0
0.981,0.699,2.212,1.696,0
1.250,0.720,3.070,1.649,0
1.225,0.715,3.063,1.723,0
1.213,0.736,2.289,1.672,0
1.204,0.748,2.292,1.862,0
1.205,0.722,2.407,1.647,0
1.203,0.738,2.349,1.632,0
1.550,0.730,2.358,1.320,0
1.519,0.754,2.399,1.363,0
1.473,0.746,3.050,1.810,0
1.464,0.767,3.043,1.808,0
1.128,0.774,2.248,1.827,0
1.127,0.782,2.402,1.800,0
1.079,0.768,3.003,1.803,0
1.069,0.776,2.359,1.337,0
1.098,0.790,2.431,1.367,0
1.076,0.798,2.436,1.865,0
0.719,0.798,2.387,1.897,2
0.687,0.827,2.418,1.907,2
0.671,0.820,2.062,1.949,2
0.654,0.821,2.127,1.946,2
0.639,0.839,2.480,1.981,2
0.636,0.841,2.488,2.015,2
0.599,0.831,2.916,1.449,2
0.606,0.820,2.467,1.957,2
0.601,0.804,2.445,2.006,2
1.035,0.814,2.486,1.739,0
1.036,0.814,2.485,1.751,0
1.060,0.807,2.491,1.653,0
1.060,0.814,2.494,1.765,0
1.033,0.807,2.500,1.741,0
1.057,0.821,2.447,1.644,0
1.056,0.799,2.501,1.661,0
1.030,0.813,2.479,1.652,0
1.017,0.799,2.444,1.780,0
1.016,0.806,2.501,1.746,0
1.041,0.812,2.505,1.785,0
1.013,0.798,2.448,1.748,0
1.037,0.804,2.447,1.667,0
1.045,0.818,2.446,1.688,0
1.026,0.803,2.506,1.704,0
0.991,0.816,2.500,1.680,0
0.976,0.793,2.467,2.323,0
0.963,0.795,2.492,1.733,0
0.987,0.808,2.477,1.749,0
0.960,0.793,2.524,1.730,2
0.945,0.799,2.493,2.353,2
0.929,0.806,2.484,1.834,2
0.912,0.799,2.160,2.415,2
0.909,0.819,2.892,5.064,2
0.894,0.809,2.233,5.064,2
0.856,0.791,2.859,5.038,2
0.858,0.791,2.854,1.348,2
0.844,0.803,2.592,1.336,2
0.854,0.788,2.877,1.310,2
0.830,0.794,2.841,1.334,2
0.831,0.807,2.899,1.342,2
0.831,0.793,2.843,1.328,2
0.844,0.792,2.843,1.669,2
0.856,0.806,2.862,1.316,2
0.867,0.805,2.863,1.647,2
0.868,0.786,2.902,1.663,2
0.855,0.786,2.902,5.038,2
0.842,0.789,2.864,1.248,2
0.828,0.899,2.311,1.207,2
0.866,0.897,2.305,1.236,2
0.828,0.906,2.245,1.217,2
0.865,0.813,2.279,5.076,2
0.826,0.779,2.307,5.064,2
0.863,0.794,2.253,4.377,2
0.850,0.792,2.209,0.960,2
0.862,0.783,2.184,4.349,2
0.836,0.780,2.212,0.980,2
0.852,0.764,2.884,5.064,2
1.867,0.780,2.292,0.964,0
0.887,0.408,2.287,0.959,2
0.866,0.403,2.321,0.942,2
0.862,0.415,2.306,0.971,2
0.850,0.408,2.269,0.948,2
0.837,0.400,2.292,0.960,2
0.850,0.400,2.243,0.946,2
0.824,0.392,2.250,0.970,2
0.837,0.399,2.278,0.944,2
0.837,0.412,2.268,0.953,2
0.827,0.390,2.293,0.961,2
0.827,0.404,2.214,0.939,2
0.840,0.392,2.233,0.948,2
0.830,0.792,2.240,0.948,2
0.837,0.784,2.224,0.950,2
0.850,0.877,2.695,0.937,2
1.889,0.876,2.263,0.950,0
1.873,0.405,2.271,0.887,1
1.856,0.390,2.314,0.870,1
1.893,0.391,2.334,0.895,1
1.891,0.384,2.357,0.884,1
1.865,0.391,2.719,0.885,1
1.852,0.384,2.697,0.910,1
1.862,0.384,2.220,0.910,1
1.887,0.376,2.311,0.910,1
1.849,0.383,2.286,0.872,1
1.015,0.383,2.333,0.911,1
1.862,0.397,2.314,0.901,1
1.009,0.377,2.761,0.917,1
1.838,0.398,2.340,0.885,1
1.014,0.399,2.290,0.890,1
0.969,0.389,2.234,0.936,1
0.984,0.781,2.354,0.906,0
0.964,0.780,2.776,0.944,0
0.957,0.783,2.273,0.958,0
0.952,0.765,2.251,1.001,2
0.937,0.768,2.228,0.975,2
1.779,0.417,2.243,0.952,1
2.767,0.401,2.200,0.970,1
2.133,0.401,2.238,0.978,1
2.745,0.405,2.238,0.960,1
2.720,0.427,2.238,0.994,1
2.747,0.741,2.820,0.975,0
2.737,0.717,2.169,1.021,0
2.716,0.713,2.169,1.016,0
2.709,0.731,2.197,1.031,0
2.711,0.714,2.141,1.000,0
2.699,0.703,2.171,1.046,0
2.657,0.707,2.192,1.018,0
2.647,0.703,2.203,0.981,0
1.619,0.699,2.178,0.979,0
1.609,0.702,2.118,1.016,0
1.589,0.691,2.147,1.006,0
2.593,0.680,2.179,1.023,0
1.538,0.696,2.153,1.067,0
1.530,0.685,2.172,1.072,0
1.524,0.688,2.020,1.102,0
1.493,0.565,2.086,1.082,0
1.487,0.660,2.140,1.113,0
1.484,0.663,2.091,1.135,0
1.453,0.659,2.100,1.167,0
1.434,0.669,2.841,0.666,0
1.402,0.651,2.870,0.639,0
1.408,0.661,2.149,0.690,0
1.374,0.657,2.108,0.706,0
1.359,0.632,2.152,0.718,0
1.340,0.635,2.083,0.733,0
2.314,0.624,2.289,0.727,0
2.269,0.633,2.218,0.767,0
2.287,0.636,2.279,0.757,0
2.243,0.630,2.941,0.756,0
2.210,0.626,2.220,0.801,0
2.216,0.610,2.254,0.816,0
2.183,0.600,2.222,0.844,0
2.150,0.610,2.948,0.847,0
2.169,0.613,2.227,0.849,0
2.149,0.602,2.261,0.888,0
2.130,0.591,2.255,0.904,0
2.111,0.588,2.223,0.894,0
2.066,0.577,2.248,0.922,0
2.033,0.573,1.993,0.950,0
2.014,0.583,2.280,0.965,0
1.994,0.572,2.278,0.968,0
1.974,0.568,2.250,0.957,0
1.981,0.564,2.003,0.985,0
1.974,0.574,1.949,1.013,0
1.917,0.557,1.959,1.040,0
1.936,0.560,1.913,1.043,0
1.879,0.556,1.912,1.058,0
1.874,0.538,1.930,1.059,0
0.636,0.542,1.910,1.061,2
0.629,0.552,1.931,1.114,2
0.616,0.541,1.968,1.129,2
0.625,0.531,1.946,1.118,2
0.867,0.520,1.945,1.144,2
0.842,0.517,1.929,1.131,2
0.817,0.535,1.929,1.155,2
0.837,0.525,1.946,1.160,2
0.800,0.517,1.867,1.196,2
0.821,0.524,1.810,1.168,2
0.847,0.530,1.833,1.819,2
0.838,0.531,1.852,1.168,2
0.838,0.530,1.814,1.210,2
0.809,0.516,1.835,1.205,2
0.812,0.522,1.817,1.141,2
1.553,0.521,1.876,1.146,1
1.534,0.514,1.839,1.158,1
1.559,0.527,1.841,1.157,1
1.543,0.526,1.884,1.144,1
1.573,0.519,1.986,1.154,1
1.741,0.505,1.847,1.158,1
1.531,0.526,1.843,1.133,1
1.556,0.526,1.823,1.171,1
1.557,0.505,1.947,1.161,1
1.771,0.518,1.840,1.164,1
1.741,0.517,1.979,1.180,1
1.734,0.524,1.978,1.144,1
1.752,0.523,2.074,1.175,1
1.718,0.501,2.068,1.194,1
1.721,0.521,2.078,1.177,1
0.660,0.499,2.094,1.199,2
1.712,0.498,1.793,1.208,1
1.663,0.498,1.824,1.229,1
1.665,0.512,1.814,1.239,1
1.680,0.518,1.789,1.236,1
1.632,0.497,2.034,1.245,1
1.636,0.505,1.959,1.265,1
1.640,0.504,1.948,1.234,1
1.619,0.512,1.908,1.242,1
1.611,0.505,1.944,1.276,1
1.615,0.512,1.955,1.271,1
1.580,0.506,1.956,1.266,1
1.570,0.507,1.935,1.288,1
1.560,0.500,1.949,1.314,1
1.563,0.522,1.890,1.323,1
1.381,0.502,1.923,1.308,1
1.343,0.517,1.902,1.355,1
1.335,0.504,1.881,1.326,1
1.343,0.526,1.913,1.374,1
1.348,0.506,1.911,1.360,1
1.355,0.514,1.928,1.356,1
1.312,0.515,1.887,1.403,1
1.471,0.510,1.885,1.413,1
1.474,0.525,1.921,1.385,1
1.451,0.534,1.899,1.394,1
1.441,0.521,1.856,0.665,1
1.457,0.530,1.892,1.425,0
1.447,0.539,1.851,1.459,0
1.449,0.540,1.868,1.431,0
1.438,0.528,1.865,1.454,0
1.414,0.523,1.843,0.935,0
1.413,0.533,1.858,0.946,0
1.361,0.536,1.892,0.942,0
1.347,0.533,1.887,0.982,0
1.357,0.550,1.882,0.970,0
1.352,0.548,1.858,0.999,0
1.324,0.560,1.871,1.002,0
1.280,0.565,1.847,1.057,0
1.288,0.556,1.803,1.049,0
1.270,0.575,1.834,1.066,0
1.238,0.588,1.827,1.072,0
1.207,0.594,1.782,1.128,0
1.227,0.593,1.775,1.150,0
1.183,0.599,1.806,1.171,0
1.165,0.598,1.818,0.708,0
1.159,0.598,1.792,0.726,0
1.140,0.625,1.803,1.773,0
1.121,0.618,1.735,0.737,0
1.114,0.638,1.759,1.775,0
1.057,0.638,1.725,1.795,0
1.075,0.635,1.678,1.828,0
1.018,0.656,1.665,1.839,0
1.036,0.664,1.676,0.774,0
1.017,0.658,1.667,1.877,0
0.988,0.665,1.659,1.900,0
0.943,0.679,1.666,1.388,0
0.947,0.686,1.620,1.429,2
0.903,0.699,1.631,0.799,2
0.923,0.685,1.605,0.805,2
0.904,0.698,1.636,0.774,2
0.886,0.705,1.628,0.807,2
0.869,0.704,1.641,0.813,2
0.841,0.716,1.616,0.791,2
0.832,0.731,1.576,0.806,2
0.832,0.728,1.636,0.827,2
0.821,0.727,1.600,0.809,2
0.847,0.705,1.619,0.782,2
0.835,0.726,1.638,0.795,2
0.834,0.726,1.604,0.807,2
0.808,0.718,1.585,0.783,2
0.821,0.718,1.605,0.818,2
0.808,0.724,1.606,0.786,2
0.833,0.717,1.646,1.516,2
0.833,0.716,1.628,0.814,2
0.807,0.715,1.592,0.837,2
0.808,0.707,1.650,0.826,2
0.842,0.709,1.595,0.759,2
0.802,0.718,1.596,0.790,2
0.827,0.710,1.594,0.775,2
0.813,0.715,1.615,0.768,2
0.837,0.704,1.598,0.739,2
0.836,0.710,1.641,0.764,2
0.810,0.699,1.605,0.770,2
0.834,0.713,1.607,0.765,2
0.808,0.723,1.612,0.761,2
0.807,0.709,1.616,0.716,2
0.801,0.740,1.641,0.750,2
0.834,0.817,1.658,0.719,2
0.824,0.712,1.639,0.729,2
0.823,0.820,1.679,0.700,2
0.797,0.813,1.685,0.711,2
0.810,0.817,1.654,0.709,2
0.800,0.892,5.056,0.701,2
0.803,0.733,3.345,0.701,2
0.807,0.787,3.363,0.724,2
1.618,0.776,1.674,0.696,0
1.632,0.765,1.716,0.681,0
1.620,0.731,1.736,0.705,0
1.635,0.768,1.720,0.704,0
1.649,0.767,1.701,0.693,0
1.632,0.762,1.677,0.722,0
1.612,0.758,1.688,0.716,0
1.616,0.768,1.657,0.738,0
1.617,0.760,1.705,0.711,0
1.579,0.754,1.693,0.736,0
1.590,0.734,1.679,0.763,0
1.574,0.727,1.667,0.766,0
1.558,0.727,3.373,0.795,0
1.541,0.727,3.428,0.824,0
1.486,0.706,3.439,0.816,0
1.506,0.698,1.568,0.859,0
1.463,0.698,1.586,0.865,0
1.457,0.684,3.457,0.857,0
1.426,0.683,4.126,0.914,0
1.394,0.682,3.126,0.895,0
1.387,0.678,3.161,0.914,0
1.393,0.679,3.140,0.933,0
1.362,0.671,3.134,0.978,0
1.330,0.644,3.173,0.971,0
1.301,0.637,3.193,1.003,0
1.292,0.651,3.186,1.009,0
1.262,0.645,3.206,1.029,0
1.239,0.617,3.182,1.074,0
1.219,0.621,3.185,1.094,0
1.213,0.614,3.240,1.101,0
1.218,0.594,3.181,1.133,0
1.173,0.586,3.198,1.165,0
1.167,0.596,5.056,1.184,0
1.135,0.583,3.214,1.178,0
1.104,0.590,1.244,1.221,0
1.085,0.584,3.245,1.201,0
1.080,0.564,3.280,1.232,0
1.075,0.564,3.293,1.250,0
1.031,0.558,3.248,1.293,0
1.026,0.544,1.116,1.311,0
1.021,0.553,1.135,1.317,0
0.990,0.525,1.079,1.335,0
0.729,0.525,1.096,1.353,2
0.723,0.523,1.039,1.383,2
0.696,0.503,1.025,1.376,2
0.672,0.504,1.004,1.381,2
0.658,0.507,0.965,1.436,2
0.645,0.492,0.971,1.413,2
0.645,0.496,0.984,1.425,2
0.860,0.489,3.370,1.439,2
0.863,0.492,3.345,1.436,2
0.865,0.489,3.308,1.422,2
0.864,0.474,3.327,1.448,2
0.902,0.481,3.346,1.460,2
0.902,0.473,2.762,1.435,2
0.861,0.479,3.323,1.422,2
0.572,0.472,3.310,1.422,2
0.546,0.471,3.345,1.448,2
0.584,0.492,3.364,1.448,2
0.547,0.477,3.342,1.447,2
0.547,0.484,2.753,1.462,2
0.560,0.490,3.340,1.449,2
0.585,0.482,3.340,1.461,2
0.573,0.489,2.694,1.423,2
0.564,0.481,2.736,1.422,2
0.888,0.481,2.697,1.445,2
0.888,0.473,2.735,1.444,2
0.862,0.486,3.304,1.456,2
0.888,0.470,3.369,1.456,2
0.900,0.458,3.305,1.430,2
0.901,0.481,2.764,1.418,2
0.901,0.458,0.989,1.444,2
0.868,0.470,2.752,1.447,2
0.882,0.476,2.693,1.459,2
0.906,0.453,2.751,1.447,2
0.865,0.465,2.752,1.434,2
0.903,0.469,2.715,1.458,2
0.890,0.453,2.736,1.448,2
0.890,0.464,2.738,1.451,2
0.902,0.462,2.740,1.452,2
0.905,0.460,2.704,1.440,2
0.905,0.451,1.535,1.466,2
0.894,0.457,2.729,1.446,2
0.870,0.448,2.711,0.807,2
0.878,0.438,2.750,0.819,2
0.890,0.442,1.524,0.817,2
0.901,0.439,1.515,0.830,2
0.872,0.437,1.554,0.546,2
0.872,0.420,2.719,0.499,2
0.887,0.433,2.782,0.490,2
0.886,0.431,1.597,0.495,2
0.901,0.416,1.548,0.500,2
0.901,0.429,1.698,0.502,2
0.884,0.448,1.573,0.518,2
0.878,0.419,1.482,0.470,2
0.863,0.429,1.535,0.463,2
0.849,0.434,1.519,0.497,2
0.857,0.434,1.477,0.502,2
0.847,0.430,1.559,0.492,2
0.845,0.464,1.496,0.501,2
0.848,0.465,1.505,0.484,2
0.863,0.469,1.517,0.432,2
0.981,0.430,1.492,0.426,1
0.843,0.445,1.492,0.450,2
0.855,0.446,1.473,0.422,2
0.854,0.447,1.493,0.458,2
0.841,0.472,1.533,0.445,2
0.857,0.505,1.475,0.445,2
0.879,0.497,1.478,0.431,2
0.844,0.497,1.497,0.431,2
0.844,0.520,1.512,0.417,2
0.857,0.513,1.487,0.442,2
0.847,0.498,1.522,0.431,2
0.887,0.510,1.499,0.415,2
0.890,0.978,1.481,0.436,2
3.403,0.457,1.533,0.435,1
3.387,0.465,1.474,0.433,1
3.374,0.445,1.534,0.443,1
3.387,0.456,1.477,0.406,1
3.374,0.466,1.515,0.444,1
3.387,0.456,1.496,0.406,1
3.374,0.452,1.477,0.443,1
3.387,0.445,1.496,0.405,1
3.400,0.466,1.496,0.444,1
3.411,0.461,1.516,0.432,1
2.987,0.446,1.480,0.421,1
2.975,0.458,1.482,0.451,1
3.374,0.456,1.542,0.444,1
3.393,0.477,1.545,0.437,1
3.386,0.495,1.530,0.431,1
3.340,0.490,1.516,0.452,1
3.342,0.520,1.501,0.473,1
3.358,0.795,1.544,0.456,0
3.338,0.776,1.511,0.464,0
3.344,0.771,1.535,0.486,0
3.323,0.781,1.578,0.496,0
3.327,0.766,1.582,0.506,0
3.289,0.768,1.550,0.518,0
3.272,0.755,1.594,0.532,0
3.270,0.763,1.581,0.572,0
3.241,0.764,1.550,0.550,0
3.211,0.743,1.614,0.567,0
3.212,0.754,1.564,0.611,0
3.177,0.747,1.610,0.630,0
3.134,0.730,1.593,0.673,0
1.005,0.721,1.657,0.693,0
0.979,0.721,1.607,0.712,0
3.100,0.725,1.633,0.731,0
3.078,0.709,1.640,0.764,0
3.058,0.697,1.628,0.795,0
3.004,0.673,1.654,0.776,0
2.736,0.670,1.660,0.795,0
2.706,0.654,1.705,0.840,0
2.728,0.645,1.655,0.833,0
2.924,0.650,1.662,0.852,0
2.931,0.641,1.669,0.871,0
2.633,0.647,1.694,0.890,0
2.867,0.648,1.739,0.935,0
2.626,0.619,1.727,0.953,0
2.609,0.638,1.695,0.946,0
2.557,0.620,1.702,0.991,0
2.510,0.616,1.746,1.022,0
2.543,0.616,1.734,1.028,0
2.754,0.628,1.763,1.046,0
2.735,0.612,1.729,1.039,0
2.346,0.626,1.792,1.096,0
2.300,0.639,1.761,1.102,0
2.287,0.620,1.787,1.107,0
2.669,0.604,1.813,1.150,0
2.669,0.638,1.801,1.169,0
2.637,0.594,1.789,1.175,0
2.642,0.595,1.816,1.182,0
2.585,0.600,1.823,1.187,0
2.566,0.580,1.811,1.220,0
2.585,0.588,1.800,1.239,0
2.525,0.581,1.826,1.283,0
2.533,0.568,1.833,1.290,0
2.525,0.562,1.822,1.296,0
2.484,0.554,1.829,1.301,0
2.449,0.559,1.875,1.320,0
2.471,0.545,1.883,1.339,0
2.411,0.521,1.871,1.395,0
2.392,0.538,1.860,1.414,0
2.390,0.525,1.868,1.420,1
2.393,0.501,1.933,1.439,1
2.336,0.510,1.921,1.445,1
1.979,0.498,1.929,1.463,1
1.966,0.498,1.898,1.507,1
1.942,0.490,1.962,1.499,1
2.264,0.481,1.912,1.503,1
2.248,0.501,1.975,1.531,1
2.233,0.502,1.981,1.571,1
2.219,0.499,1.930,1.585,1
2.243,0.477,1.993,1.599,1
1.954,0.535,1.998,1.599,0
1.931,0.494,2.003,1.585,1
2.207,0.498,1.950,1.609,1
2.185,0.501,2.012,1.620,1
1.915,0.487,2.016,1.643,1
1.866,0.480,2.020,1.627,1
2.142,0.498,2.024,1.674,1
2.158,0.492,2.028,1.658,1
1.892,0.478,1.994,1.680,1
1.884,0.502,2.017,1.700,1
1.868,0.594,2.040,1.684,0
1.832,0.639,2.024,1.692,0
1.815,0.557,2.047,1.701,0
1.916,0.582,2.052,1.710,0
2.090,0.612,2.037,1.732,0
2.050,3.175,2.061,1.729,3
2.077,0.535,2.013,1.765,0
2.026,0.530,2.071,1.777,1
2.026,0.515,2.018,1.788,0
2.025,1.454,2.022,1.763,3
2.022,1.467,2.064,1.777,3
1.969,1.449,2.087,1.818,3
1.991,1.435,2.034,1.820,3
1.936,1.440,2.075,1.861,3
1.920,1.441,2.010,1.878,3
1.930,1.433,1.978,1.895,3
1.913,1.445,1.949,1.874,3
1.870,1.422,2.037,1.917,3
